story_id,factuality,bias,NL_grammar_mechanics_check,FOL,proof_correctness,Corrected Premises - NL,Premises - NL,Conclusions - NL,Corrected Conclusions - NL,Truth Value,"Premises 
used",Derivation,Derivation - Corrected,"Derivation 
index",Inference rule,Premises - FOL - corrected - optimized,Premises - FOL - corrected,Premises - FOL,Corrected Conclusions - FOL  - optimized,Corrected Conclusion - FOL ,Conclusion - FOL,comment on FOL,comment on Bias
,,,,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
34,,,CHECKED,,,,"Rafa Nadal was born in Mallorca.
Rafa Nadal is a professional tennis player.
Nadal's win ratio is high.
All players in the Big 3 are professionals who have a high win ratio.",Nadal is in the Big 3.,,T,,,,,,,"BornIn(rafaNadal, mallorca)
ProfessionalTennisPlayer(rafaNadal)
HighWinRatio(rafaNadal)
∀x (ProfessionalTennisPlayer(x) ∧ HighWinRatio(x) → InBig3(x))","BornIn(rafaNadal, mallorca)
ProfessionalTennisPlayer(rafaNadal)
HighWinRatio(rafaNadal)
∀x (ProfessionalTennisPlayer(x) ∧ HighWinRatio(x) → InBig3(x))",,InBig3(rafaNadal),InBig3(rafaNadal),,
,,,,,,,,,,,"3,4",Nadal is in the Big 3,,D1,Universal Instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
34,,,CHECKED,,,,"Rafa Nadal was born in Mallorca.
Rafa Nadal is a professional tennis player.
Nadal's win ratio is high.
All players in the Big 3 are professionals who have a high win ratio.",Nadal is the greatest player of all time.,,U,,,,,,,"BornIn(rafaNadal, mallorca)
ProfessionalTennisPlayer(rafaNadal)
HighWinRatio(rafaNadal)
∀x (ProfessionalTennisPlayer(x) ∧ HighWinRatio(x) → InBig3(x))","BornIn(rafaNadal, mallorca)
ProfessionalTennisPlayer(rafaNadal)
HighWinRatio(rafaNadal)
∀x (ProfessionalTennisPlayer(x) ∧ HighWinRatio(x) → InBig3(x))",,GreatestOfAllTime(rafaNadal),GreatestOfAllTime(rafaNadal),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
35,,,CHECKED,,,,"An Olympian is a person who trains for an Olympic sport and goes to the Olympics.
Carlos Reyes trains for an Olympic sport.
Carlos Reyes went to the Olympics.
Carlos Reyes is a welterweight.
Heavy weights are not welterweights.",Carlos Reyes is an Olympian.,,T,,,,,,,"∀x (DoesOlympicSport(x) ∧ GoesToOlympicGames(x) → IsOlympian(x))
DoesOlympicSport(carlosReyes)
GoesToOlympicGames(carlosReyes)
IsWelterWeight(carlosReyes)
∀x (IsWelterWeight(x) → ¬IsHeavyWeight(x))","∀x (DoesOlympicSport(x) ∧ GoesToOlympicGames(x) → IsOlympian(x))
DoesOlympicSport(carlosReyes)
GoesToOlympicGames(carlosReyes)
IsWelterWeight(carlosReyes)
∀x (IsWelterWeight(x) → ¬IsHeavyWeight(x))",,IsOlympian(carlosReyes),IsOlympian(carlosReyes),,
,,,,,,,,,,,"2,3",Carlos Reyes trains for an Olympic sport and goes to the Olympics,,D1,Conjunction Introduction,,,,,,,,
,,,,,,,,,,,"1,D1",Carlos Reyes is an Olympian,,D2,Universal Instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
35,,,CHECKED,,,,"An Olympian is a person who trains for an Olympic sport and goes to the Olympics.
Carlos Reyes trains for an Olympic sport.
Carlos Reyes went to the Olympics.
Carlos Reyes is a welterweight.
Heavy weights are not welterweights.",Carlos Reyes is a heavy weight.,,F,,,,,,,"∀x (DoesOlympicSport(x) ∧ GoesToOlympicGames(x) → IsOlympian(x))
DoesOlympicSport(carlosReyes)
GoesToOlympicGames(carlosReyes)
IsWelterWeight(carlosReyes)
∀x (IsWelterWeight(x) → ¬IsHeavyWeight(x))","∀x (DoesOlympicSport(x) ∧ GoesToOlympicGames(x) → IsOlympian(x))
DoesOlympicSport(carlosReyes)
GoesToOlympicGames(carlosReyes)
IsWelterWeight(carlosReyes)
∀x (IsWelterWeight(x) → ¬IsHeavyWeight(x))",,IsHeavyWeight(carlosReyes),IsHeavyWeight(carlosReyes),,
,,,,,,,,,,,"4,5",Carlos Reyes is not a heavy weight,,D1,Universal Instantation,,,,,,,,
,,,,,,,Premise 5 shouldn't be background information?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
35,,,CHECKED,,,,"An Olympian is a person who trains for an Olympic sport and goes to the Olympics.
Carlos Reyes trains for an Olympic sport.
Carlos Reyes went to the Olympics.
Carlos Reyes is a welterweight.
Heavy weights are not welterweights.",Carlos Reyes won an Olympic medal.,,U,,,,,,,"∀x (DoesOlympicSport(x) ∧ GoesToOlympicGames(x) → IsOlympian(x))
DoesOlympicSport(carlosReyes)
GoesToOlympicGames(carlosReyes)
IsWelterWeight(carlosReyes)
∀x (IsWelterWeight(x) → ¬IsHeavyWeight(x))","∀x (DoesOlympicSport(x) ∧ GoesToOlympicGames(x) → IsOlympian(x))
DoesOlympicSport(carlosReyes)
GoesToOlympicGames(carlosReyes)
IsWelterWeight(carlosReyes)
∀x (IsWelterWeight(x) → ¬IsHeavyWeight(x))",,WonOlympicMedal(carlosReyes),WonOlympicMedal(carlosReyes),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
36,,,CHECKED,,,,"Tyga is a rapper.
Rappers release rap albums.
Tyga released the Well Done 3 album.
Rappers are not opera singers.",Well Done 3 is a rap album.,,T,,,,,,,"IsRapper(tyga)
∀x ∀y (IsRapper(x) ∧ ReleasedAlbum(x, y) → IsRapAlbum(y))
ReleasedAlbum(tyga, wellDone3)
∀x (IsRapper(x) → ¬IsOperaSinger(x))","IsRapper(tyga)
∀x ∀y (IsRapper(x) ∧ ReleasedAlbum(x, y) → IsRapAlbum(y))
ReleasedAlbum(tyga, wellDone3)
∀x (IsRapper(x) → ¬IsOperaSinger(x))",,IsRapAlbum(wellDone3),IsRapAlbum(wellDone3),,
,,,,,,,,,,,"1,3",A rapper released the Well Done 3 album,,D1,universal instantiation,,,,,,,,
,,,,,,,,,,,"2, D1",Well Done 3 is a rap album,,D2,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
36,,,CHECKED,,,,"Tyga is a rapper.
Rappers release rap albums.
Tyga released the Well Done 3 album.
Rappers are not opera singers.",Tyga is an opera singer.,,F,,,,,,,"IsRapper(tyga)
∀x ∀y (IsRapper(x) ∧ ReleasedAlbum(x, y) → IsRapAlbum(y))
ReleasedAlbum(tyga, wellDone3)
∀x (IsRapper(x) → ¬IsOperaSinger(x))","IsRapper(tyga)
∀x ∀y (IsRapper(x) ∧ ReleasedAlbum(x, y) → IsRapAlbum(y))
ReleasedAlbum(tyga, wellDone3)
∀x (IsRapper(x) → ¬IsOperaSinger(x))",,IsOperaSinger(tyga),IsOperaSinger(tyga),,
,,,,,,,,,,,"1,4",Tyga is not an opera singer,,D1,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
36,,,CHECKED,,,,"Tyga is a rapper.
Rappers release rap albums.
Tyga released the Well Done 3 album.
Rappers are not opera singers.",Well Done 3 is worth listening.,,U,,,,,,,"IsRapper(tyga)
∀x ∀y (IsRapper(x) ∧ ReleasedAlbum(x, y) → IsRapAlbum(y))
ReleasedAlbum(tyga, wellDone3)
∀x (IsRapper(x) → ¬IsOperaSinger(x))","IsRapper(tyga)
∀x ∀y (IsRapper(x) ∧ ReleasedAlbum(x, y) → IsRapAlbum(y))
ReleasedAlbum(tyga, wellDone3)
∀x (IsRapper(x) → ¬IsOperaSinger(x))",,IsWorthListening(wellDone3),IsWorthListening(wellDone3),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
37,,,CHECKED,,,,"Hepatology is a compound literary or narrative work that is made up of seven distinct works.
The Harry Potter series consists of 7 distinct works.
The Chronicles of Narnia consists of 7 distinct works.",The Harry Potter series of books is a hepatology. ,,T,,,,,,,"∀x (SevenDistinctWorks(x) → Hepatology(x))
SevenDistinctWorks(harryPotter)
SevenDistinctWorks(chroniclesofNarnia)","∀x (SevenDistinctWorks(x) → Hepatology(x))
SevenDistinctWorks(harryPotter)
SevenDistinctWorks(chroniclesofNarnia)",,Hepatology(harryPotter),Hepatology(harryPotter),,
,,,,,,,,,,,"1,2",The Harry Potter series is a hepatology.,,D1,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
37,,,CHECKED,,,,"Hepatology is a compound literary or narrative work that is made up of seven distinct works.
The Harry Potter series consists of 7 distinct works.
The Chronicles of Narnia consists of 7 distinct works.",The Chronicles of Narnia series of books is not a hepatology.,,F,,,,,,,"∀x (SevenDistinctWorks(x) → Hepatology(x))
SevenDistinctWorks(harryPotter)
SevenDistinctWorks(chroniclesofNarnia)","∀x (SevenDistinctWorks(x) → Hepatology(x))
SevenDistinctWorks(harryPotter)
SevenDistinctWorks(chroniclesofNarnia)",,¬Hepatology(chroniclesofNarnia),¬Hepatology(chroniclesofNarnia),,
,,,,,,,,,,,"1, 3",The Chronicles of Narnia series is a hepatology,,D1,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
37,,,CHECKED,,,,"Hepatology is a compound literary or narrative work that is made up of seven distinct works.
The Harry Potter series consists of 7 distinct works.
The Chronicles of Narnia consists of 7 distinct works.",The Lord of Rings is a hepatology. ,,U,,,,,,,"∀x (SevenDistinctWorks(x) → Hepatology(x))
SevenDistinctWorks(harryPotter)
SevenDistinctWorks(chroniclesofNarnia)","∀x (SevenDistinctWorks(x) → Hepatology(x))
SevenDistinctWorks(harryPotter)
SevenDistinctWorks(chroniclesofNarnia)",,Hepatology(lordofRings),Hepatology(lordofRings),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
38,,,CHECKED,,,,"The Metropolitan Museum of Art is a museum in NYC.
Whitney Museum of American Art is a museum in NYC.
The Museum of Modern Art (MoMA) is a museum in NYC. 
The Metropolitan Museum of Art includes Byzantine and Islamic Art. 
Whitney Museum of American Art includes American art.",A museum in NYC includes Byzantine and Islamic Art.,,T,,,,,,,"Museum(metropolitanMuseumofArt) ∧ In(metropolitanMuseumofArt, NYC)
Museum(whitneyMuseumofAmericanArt) ∧ In(metropolitanMuseumofArt, NYC)
Museum(museumofModernArt) ∧ In(museumofModernArt, NYC)
Include(metropolitanMuseumofArt, byzantineArt) ∧ Include(metropolitanMuseumofArt, islamicArt)
Include(whitneyMuseumofAmericanArt, americanArt)","Museum(metropolitanMuseumofArt) ∧ InNYC(metropolitanMuseumofArt)
Museum(whitneyMuseumofAmericanArt) ∧ InNYC(whitneyMuseumofAmericanArt)
Museum(museumofModernArt) ∧ InNYC(museumofModernArt)
Include(metropolitanMuseumofArt, byzantineArt) ∧ Include(metropolitanMuseumofArt, islamicArt)
Include(whitneyMuseumofAmericanArt, americanArt)",,"∃x (Museum(x) ∧ In(x) ∧ Include(x, byzantineArt) ∧ Include(x, islamicArt))","∃x (Museum(x) ∧ InNYC(x) ∧ Include(x, byzantineArt) ∧ Include(x, islamicArt))",,
,,,,,,,,,,,"1,4",The Metropolitan Museum of Art is a museum in NYC and includes Byzantine and Islamic Art,,D1,conjunction introduction,,,,,,,,
,,,,,,,,,,,D1,There is a museum in NYC that includes Byzantine and Islamic art,,D2,existential generalization,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
38,,,CHECKED,,,,"The Metropolitan Museum of Art is a museum in NYC.
Whitney Museum of American Art is a museum in NYC.
The Museum of Modern Art (MoMA) is a museum in NYC. 
The Metropolitan Museum of Art includes Byzantine and Islamic Art. 
Whitney Museum of American Art includes American art.",A museum in NYC includes American art.,,T,,,,,,,"Museum(metropolitanMuseumofArt) ∧ In(metropolitanMuseumofArt, NYC)
Museum(whitneyMuseumofAmericanArt) ∧ In(metropolitanMuseumofArt, NYC)
Museum(museumofModernArt) ∧ In(museumofModernArt, NYC)
Include(metropolitanMuseumofArt, byzantineArt) ∧ Include(metropolitanMuseumofArt, islamicArt)
Include(whitneyMuseumofAmericanArt, americanArt)","Museum(metropolitanMuseumofArt) ∧ InNYC(metropolitanMuseumofArt)
Museum(whitneyMuseumofAmericanArt) ∧ InNYC(whitneyMuseumofAmericanArt)
Museum(museumofModernArt) ∧ InNYC(museumofModernArt)
Include(metropolitanMuseumofArt, byzantineArt) ∧ Include(metropolitanMuseumofArt, islamicArt)
Include(whitneyMuseumofAmericanArt, americanArt)",,"∃x (Museum(x) ∧ In(x) ∧ Include(x, americanArt))","∃x (Museum(x) ∧ InNYC(x) ∧ Include(x, americanArt))",,
,,,,,,,,,,,"2,5",The Whitney Museum of American Art is a museum in NYC that included American Art,,D1,conjunction introduction,,,,,,,,
,,,,,,,,,,,D1,There is a museum in NYC that includes American Art,,D2,existential generalization,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
38,,,CHECKED,,,,"The Metropolitan Museum of Art is a museum in NYC.
Whitney Museum of American Art is a museum in NYC.
The Museum of Modern Art (MoMA) is a museum in NYC. 
The Metropolitan Museum of Art includes Byzantine and Islamic Art. 
Whitney Museum of American Art includes American art.",A museum in NYC includes Greek art.,,U,,,,,,,"Museum(metropolitanMuseumofArt) ∧ In(metropolitanMuseumofArt, NYC)
Museum(whitneyMuseumofAmericanArt) ∧ In(metropolitanMuseumofArt, NYC)
Museum(museumofModernArt) ∧ In(museumofModernArt, NYC)
Include(metropolitanMuseumofArt, byzantineArt) ∧ Include(metropolitanMuseumofArt, islamicArt)
Include(whitneyMuseumofAmericanArt, americanArt)","Museum(metropolitanMuseumofArt) ∧ InNYC(metropolitanMuseumofArt)
Museum(whitneyMuseumofAmericanArt) ∧ InNYC(whitneyMuseumofAmericanArt)
Museum(museumofModernArt) ∧ InNYC(museumofModernArt)
Include(metropolitanMuseumofArt, byzantineArt) ∧ Include(metropolitanMuseumofArt, islamicArt)
Include(whitneyMuseumofAmericanArt, americanArt)",,"∃x (Museum(x) ∧ In(x) ∧ Include(x, greekArt))","∃x (Museum(x) ∧ InNYC(x) ∧ Include(x, greekArt))",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
39,,,CHECKED,,,,"""Your Woman"" is a song by the British one-man band White Town.
""Your Woman"" song peaked at No. 1 on the UK Singles Chart.
If a song peaked at No.1 at a particular place, then it was extremely popular.
""Your Woman"" also peaked at No. 1 in Iceland, Israel, and Spain.","""Your Woman"" was extremely popular.",,T,,,,,,,"Produce(whiteTown, yourWoman)
Peak(yourWoman, uKSinglesChart)
∀x ∀y (Peak(x, y) → Popular(x))
Peak(yourWoman, iceland) ∧ Peak(yourWoman, israel) ∧ Peak(yourWoman, spain)","Produce(whiteTown, yourWoman)
Peak(yourWoman, uKSinglesChart)
∀x ∀y (Peak(x, y) → Popular(x))
Peak(yourWoman, iceland) ∧ Peak(yourWoman, israel) ∧ Peak(yourWoman, spain)",,Popular(yourWoman),Popular(yourWoman),,
,,,,,,,,,,,"2,3","""Your Woman"" was extremely popular",,D1,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
39,,,CHECKED,,CORRECTED,,"""Your Woman"" is a song by the British one-man band White Town.
""Your Woman"" song peaked at No. 1 on the UK Singles Chart.
If a song peaked at No.1 at a particular place, then it was extremely popular.
""Your Woman"" also peaked at No. 1 in Iceland, Israel, and Spain.",White Town did not produce any popular song.,,F,,,,,,,"Produce(whiteTown, yourWoman)
Peak(yourWoman, uKSinglesChart)
∀x ∀y (Peak(x, y) → Popular(x))
Peak(yourWoman, iceland) ∧ Peak(yourWoman, israel) ∧ Peak(yourWoman, spain)","Produce(whiteTown, yourWoman)
Peak(yourWoman, uKSinglesChart)
∀x ∀y (Peak(x, y) → Popular(x))
Peak(yourWoman, iceland) ∧ Peak(yourWoman, israel) ∧ Peak(yourWoman, spain)",,"∀x (Produce(whiteTown, x) → ¬Popular(x))","∀x (Produce(whiteTown, x) → ¬Popular(x))",,
,,,,,,,,,,,"2,3","""Your Woman"" was extremely popular",,D1,universal instantiation,,,,,,,,
,,,,,,,,,,,"1, D1","White Town produced an extremely popular Song called ""Your Woman"".",,D2,conjunction introduction,,,,,,,,
,,,,,,,,,,,D2,White Town produced a popular Song,,D3,existential introduction,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
39,,,CHECKED,,,,"""Your Woman"" is a song by the British one-man band White Town.
""Your Woman"" song peaked at No. 1 on the UK Singles Chart.
If a song peaked at No.1 at a particular place, then it was extremely popular.
""Your Woman"" also peaked at No. 1 in Iceland, Israel, and Spain.",White Town was a successful band.,,U,,,,,,,"Produce(whiteTown, yourWoman)
Peak(yourWoman, uKSinglesChart)
∀x ∀y (Peak(x, y) → Popular(x))
Peak(yourWoman, iceland) ∧ Peak(yourWoman, israel) ∧ Peak(yourWoman, spain)","Produce(whiteTown, yourWoman)
Peak(yourWoman, uKSinglesChart)
∀x ∀y (Peak(x, y) → Popular(x))
Peak(yourWoman, iceland) ∧ Peak(yourWoman, israel) ∧ Peak(yourWoman, spain)",,Successful(whiteTown),Successful(whiteTown),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
40,,,CHECKED,,,,"If someone can run far and navigate using a map, they can participate in the sport of orienteering.
Fit people can run far.
People who have a good sense of direction can use a map.
Military officers are fit.
Hailee is a military officer and has a good sense of direction.
Karl is not a military officer and can use a map.",Hailee can participate in orienteering.,,T,,,,,,,"∀x (RunFar(x) ∧ UseMap(x) → Orienteer(x))
∀x (Fit(x) → RunFar(x))
∀x (SenseDirection(x) → UseMap(x))
∀x (MilitaryOfficer(x) → Fit(x))
MilitaryOfficer(hailee) ∧ SenseDirection(hailee)
¬MilitaryOfficer(karl) ∧ UseMap(karl)","∀x (RunFar(x) ∧ UseMap(x) → Orienteer(x))
∀x (Fit(x) → RunFar(x))
∀x (SenseDirection(x) → UseMap(x))
∀x (MilitaryOfficer(x) → Fit(x))
MilitaryOfficer(hailee) ∧ SenseDirection(hailee)
¬MilitaryOfficer(karl) ∧ UseMap(karl)",,Orienteer(hailee),Orienteer(hailee),,
,,,,,,,,,,,5,Hailee is a military officer,,D1,conjunction elimination,,,,,,,,
,,,,,,,,,,,5,Hailee has a good sense of direction,,D2,conjunction elimination,,,,,,,,
,,,,,,,,,,,"4, D1",Hailee is fit,,D3,universal instantiation and modus ponens,,,,,,,,
,,,,,,,,,,,"2, D3",Hailee can run far,,D4,universal instantiation and modus ponens,,,,,,,,
,,,,,,,,,,,"3, D2",Hailee can use a map,,D5,universal instantiation and modus ponens,,,,,,,,
,,,,,,,,,,,"D4, D5",Hailee can run far and use a map,,D6,conjunction introduction,,,,,,,,
,,,,,,,,,,,"1, D6",Hailee can participate in orienteering,,D7,universal instantiation and modus ponens,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
40,,,CHECKED,,,,"If someone can run far and navigate using a map, they can participate in the sport of orienteering.
Fit people can run far.
People who have a good sense of direction can use a map.
Military officers are fit.
Hailee is a military officer and has a good sense of direction.
Karl is not a military officer and can use a map.",Karl can not participate in orienteering.,,U,,,,,,,"∀x (RunFar(x) ∧ UseMap(x) → Orienteer(x))
∀x (Fit(x) → RunFar(x))
∀x (SenseDirection(x) → UseMap(x))
∀x (MilitaryOfficer(x) → Fit(x))
MilitaryOfficer(hailee) ∧ SenseDirection(hailee)
¬MilitaryOfficer(karl) ∧ UseMap(karl)","∀x (RunFar(x) ∧ UseMap(x) → Orienteer(x))
∀x (Fit(x) → RunFar(x))
∀x (SenseDirection(x) → UseMap(x))
∀x (MilitaryOfficer(x) → Fit(x))
MilitaryOfficer(hailee) ∧ SenseDirection(hailee)
¬MilitaryOfficer(karl) ∧ UseMap(karl)",,¬Orienteer(karl),¬Orienteer(karl),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
