story_id,Truth Value,Premises used,Derivation,Derivation - Corrected,Derivation index,Inference rule
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
204,T,,,,,
,,2,Borj Masouda is in the medina of Sfax.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
204,F,,,,,
,,2,Borj Masouda is in the medina of Sfax.,,D1,conjunction elimination
,,"3,D1",Borj Masouda is in Tunisia.,,D2,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
204,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
205,T,,,,,
,,1,Oxford Circus is on Oxford Street.,,D1,conjunction elimination
,,"2,D1",Oxford Circus is in London.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
205,T,,,,,
,,"4,5","John Nash, a British architect, designed Oxford Circus.",,D1,conjunction introduction
,,D1,A British architect designed Oxford Circus.,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
205,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
205,F,,,,,
,,2,Regent Street is in London.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
206,F,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
206,F,,,,,
,,3,India's economy is emerging.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
206,T,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
207,F,,,,,
,,"4, 5",TOra is not paid software.,,D1,modus tollens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
207,T,,,,,
,,"1, 2",TOra is a software.,,D1,universal instantiation
,,"3, D1",TOra is free or paid.,,D2,universal instantiation
,,"4, 5",TOra is not paid software.,,D3,modus tollens
,,"D1, D2",TOra is free software or paid software.,,D4,conjunction introduction
,,"D3, D4",Tora is free software.,,D5,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
208,T,,,,,
,,2,Lake Erie has a major settlement.,,D1,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
208,F,,,,,
,,8,There is no great lake that did not form at the end of the Last Glacial Period.,,D1,double negation introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
209,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
209,T,,,,,
,,"2,5",Dominique does not live in Spain.,,D1,modus tollens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
209,T,,,,,
,,"2, 3",Spain and Poland are in Europe,,D1,conjunction introduction
,,"1, 6",Alfonso lives in Spain or in Poland.,,D2,hypothetical syllogism
,,"D1, D2","Alfonso lives in Spain, which is in Europe or in Poland, which is also in Europe.",,D3,conjunction introduction
,,D3,Alfonso lives in a city in Europe or a city in Europe.,,D4,existential introduction
,,D4,Alfonso lives in a city in Europe.,,D5,
,,,,,,
210,F,,,,,
,,"2,3",Platypuses and Echidnas are not hyrax.,,D1,conjunction introduction
,,"1,7","If hyraxes lay eggs, they are either platypuses or echidnas.",,D2,universal instantiation
,,"D1, D2",Hyraxes don't lay eggs.,,D3,modus tollens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
210,T,,,,,
,,1,"If an animal is not platypuses or echidnas, then they are not mammals that lay eggs.",,D1,transposition
,,9,Grebes are not mammals or they do not lay eggs.,,D2,hypothetical syllogism
,,"D2, 8",Grebes are not mammals.,,D3,disjunctive syllogism
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
210,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
211,T,,,,,
,,"3,4","pots and spot are anagrams, spot and opts are anagrams.",,D1,conjunction introduction
,,"1,D1",pots and opts are anagrams.,,D2,universal instantiation and modus ponens
,,"5,6",opts and tops are anagrams.,,D3,universal instantiation and modus ponens
,,"D2,D3","pots and opts are anagrams, opts and tops are anagrams.",,D4,conjunction introduction
,,"1,D4",pots and tops are anagrams.,,D5,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
211,T,,,,,
,,"2,3","pots and stop are anagrams, pots and spot are anagrams,",,D1,conjunction introduction
,,"1,D1",stop and spot are anagrams.,,D2,universal instantiation and modus ponens
,,"D2,4","stop and spot are anagrams, spot and opts are anagrams.",,D3,conjunction introduction
,,"1,D3",stop and opts are anagrams.,,D4,universal instantiation and modus ponens
,,"5,6",tops and opts are anagrams.,,D5,universal instantiation and modus ponens
,,"D4,D5","stop and opts are anagrams, topss and opts are anagrams.",,D6,conjunction introduction
,,"1,D6",stop and tops are anagrams.,,D7,universal instantiation and modus ponens
,,"4,D7","stop and tops are anagrams, tops and post are anagrams.",,D8,conjunction introduction
,,"1,D8",stop and post are anagrams.,,D9,universal instantiation and modus ponens
,,,,,,
211,T,,,,,
,,"2,3","pots and stop are anagrams, pots and spot are anagrams,",,D1,conjunction introduction
,,"1,D1",stop and spot are anagrams.,,D2,universal instantiation and modus ponens
,,"D2,4","stop and spot are anagrams, spot and opts are anagrams.",,D3,conjunction introduction
,,"1,D3",stop and opts are anagrams.,,D4,universal instantiation and modus ponens
,,"5,6",tops and opts are anagrams.,,D5,universal instantiation and modus ponens
,,"D4,D5","stop and opts are anagrams, topss and opts are anagrams.",,D6,conjunction introduction
,,"1,D6",stop and tops are anagrams.,,D7,universal instantiation and modus ponens
,,"4,D7","stop and tops are anagrams, tops and post are anagrams.",,D8,conjunction introduction
,,"1,D8",stop and post are anagrams.,,D9,universal instantiation and modus ponens
,,,,,,
212,T,,,,,
,,4,Allison is at Luis's dinner party.,,D1,conjunction elimination
,,"2,D1",Allison has room for dessert.,,D2,universal instantiation
,,"1, D2",Allison has room for broccoli.,,D3,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
212,F,,,,,
,,"1,3",Mauricia does not have room for dessert.,,D1,modus tollens
,,"2,D1",Mauricia is not at Luis's dinner party.,,D2,modus tollens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
212,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
213,F,,,,,
,,"2,3",All romance languages are related to each other.,,D1,universal instantiation
,,4,French is a romance language.,,D2,conjunction elimination
,,"D1, D2",All romance languages are related to French.,,D3,universal instantiation
,,D3,All romance languages are related to a language.,,D4,existential generalization
,,"6, D4",Basque is not a Romance language.,,D5,modus tollens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
213,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
213,T,,,,,
,,4,French is a Romance language.,,D1,conjunction elimination
,,"1, D1",French is an Indo-European language.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
214,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
214,F,,,,,
,,3,CPSC 223 is a prerequisite for CPSC 323.,,D1,conjunction elimination
,,"1, D1",A student must take CPSC 223 to take CPSC 323.,,D2,universal instantiation
,,D2,A student that hasn't taken CPSC 223 can't take CPSC 323.,,D3,transposition
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
214,F,,,,,
,,"2,5",A student can take Intro Geology.,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
214,T,,,,,
,,4,Intermediate Microeconomics has one prerequisite.,,D1,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
215,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
215,T,,,,,
,,"3,4","Adam broke his favorite car, which is European.",,D1,conjunction introduction
,,D1,Adam broke a European car.,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
216,T,,,,,
,,"2,3",Olivia prefers cool temperature during the night,,D1,hypothetical syllogism
,,"1,7",Olivia prefers cool temperature during the day,,D2,disjunctive syllogism
,,"D1,D2","Olivia prefers cool temperature during the night, Olivia prefer cool temperature during the day",,D3,conjunction introduction
,,"6,D3","At all times, Olivia prefers cool temperature.",,D4,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
217,T,,,,,
,,"1, 2","If George likes music and has access to a program, he wants to compose and he can compose",,D1,conjunction introduction
,,"D1, 3","If George likes music and has access to a program, he will compose",,D2,hypothetical syllogism
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
217,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
218,T,,,,,
,,"2,3","Maya can injure her ankles, fingers, or shoulders",,D1,universal instantiation
,,D1,Maya can injure her fingers,,D2,conjunction elimination
,,"1, D2",Maya will not play violin,,D3,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
219,T,,,,,
,,"1,3",Beethoven wrote a music piece Symphony 9,,D1,conjunction introduction
,,"2,D1",Beethoven is a composer,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
219,T,,,,,
,,"1, 4, 5",Some orchestras premiered music pieces.,,D1,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
219,F,,,,,
,,"5,6",Beethoven leads an orchestra Vienna Music Society,,D1,conjunction introduction
,,"7,D1",Beethoven is a conductor,,D2,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
220,T,,,,,
,,"2,3","The album ""Wolfgang Amadeus Phoenix"" is a certified gold album.",,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
220,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
221,F,,,,,
,,3,Ernest Phol scored more than 180 goals,,1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
221,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
222,T,,,,,
,,"1,2",New York City is on the East Coast and Seatle is on the West Coast,,D1,conjunction introduction
,,"3,D1",People flying from New York City to Seatle will be on a long flight,,D2,universal instantiation
,,"5, D2",People flying from New York City to Seatle will be uncomfortable unless they are in first class,,D3,universal instantiation
,,"4,D3",Some people flying from New York City to Seatle will be uncomfortable,,D4,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
223,T,,,,,
,,"2,3",David Ha'ivri received Israeli citizenship at birth.,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
223,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
223,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
224,T,,,,,
,,2,"If a club is based in Ponciau, then it's Rhos Aelwyd F.C.",,D1,law of biconditional properties
,,"3,D1",Rhos Aelwyd F.C. won the 2005-06 Premier Division.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
224,T,,,,,
,,2,"If a club is based in Ponciau, then it's Rhos Aelwyd F.C.",,D1,law of biconditional properties
,,"3,D1",Rhos Aelwyd F.C. won the 2005-06 Premier Division.,,D2,universal instantiation
,,"5,D2",Rhos Aelwyd F.C. won the 2009-10 Premier Division.,,D3,universal instantiation
,,"4,D3",Rhos Aelwyd F.C. was promoted to the Cymru Alliance.,,D4,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
225,T,,,,,
,,1,ETB2 is a television channel.,,D1,conjunction elimination
,,6,Navarre is located in Basque Country.,,D2,conjunction elimination
,,"5,D2","ETB2's reception area is comprissed of Basque Country, in which Navarre is located.",,D3,conjunction introduction
,,"D1,D3","ETB2 is a television channel with a reception area of Basque Country, in which Navarre is located.",,D4,conjunction introduction
,,"4,D4",The ETB2 channel can be accessed from Navarre.,,D5,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
225,F,,,,,
,,1,ETB2 is a television channel.,,D1,conjunction elimination
,,6,French Basque Country is located in Basque Country.,,D2,conjunction elimination
,,"5,D2","ETB2's reception area is comprissed of Basque Country, in which French Basque Country is located.",,D3,conjunction introduction
,,"D1,D3","ETB2 is a television channel with a reception area of Basque Country, in which French Basque Country is located.",,D4,conjunction introduction
,,"4,D4",The ETB2 channel can be accessed from French Basque Country.,,D5,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
226,T,,,,,
,,"4,5",William Dickinson did not get a seat in the Parliament.,,1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
226,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
226,T,,,,,
,,"2,3",William Dickinson attended university in the United Kingdom.,,1,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
226,T,,,,,
,,1,William Dickinson sat in the House of Commons.,,1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
227,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
227,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
227,T,,,,,
,,1,Giuseppe Colli established a company that is called Carrozzeria Colli,,D1,conjunction elimination
,,"D1,6","Giuseppe Colli established a company that is called Carrozzeria Colli, and Carrozzeria Colli made car bodies. ",,D2,conjunction introduction
,,D2,Giuseppe Colli established a company that made car bodies.,,D3,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
227,T,,,,,
,,1,Giuseppe Colli established a Milanese coachbuilder company that is called Carrozzeria Colli,,D1,conjunction elimination
,,"D1,2","Giuseppe Colli established a Milanese coachbuilder company that is called Carrozzeria Colli, and Carrozzeria Colli is a company that specialized in using aluminum.",,D2,conjunction introduction
,,D2,Giuseppe Colli established a Milanese coachbuilder company that specialized in using aluminum.,,D3,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
227,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
228,T,,,,,
,,5,The Special Operation Group recruits people from the Indian Armed Forces,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
228,T,,,,,
,,"2,3","The Special Operation Group is highly trained in the skills involved for neutralizing terrorists, insurgents and extremists.",,D1,universal instantiation and modus ponens
,,"4,D1",The Special Operation Group is highly trained in engaging in field craft and jungle warfare.,,D2,universal instantiation and modus ponens
,,5,The Special Operation Group recruits people from the Indian Armed Forces,,D3,conjunction elimination
,,"D2,D3",Some peope who were in the Indian Armed Forces are highly trained in engaging in field craft and jungle warfare.,,D4,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
228,T,,,,,
,,2,The Special Operation Group specializes in neutralizing extremists.,,D1,conjunction elimination
,,,,,,
228,T,,,,,
,,5,Some people recruited to the Special operation Group are from the Central Para Military Forces,,D1,conjunction elimination
,,"1,D1",Some people recruited to the Special operation Group are from the Central Para Military Forces and their new group operates under the Odisha police.,,D2,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
228,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
229,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
229,T,,,,,
,,"2,4",Barbara Ann Marshall represented her home country in the 1972 Summer Olympics.,,D1,universal instantiation
,,"3,D1",Barbara Ann Marshall represented the United States in the 1972 Summer Olympics.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
230,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
230,F,,,,,
,,"3,4",All other universities in England can't be older than The University of Oxford,,D1,hypothetical syllogism
,,2,The University of Edinburgh is a university in England,,D2,conjunction elimination
,,"D1,D2",The University of Edinburgh is not older than the University of Oxford,,D3,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
230,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
231,F,,,,,
,,"2, 5",The third place in the gold medal tally was achieved by Russia in the 2008 Summer Olympics and China won the most gold medals (48) in the 2008 Summer Olympics.,,D1,conjunction introduction
,,"D1, 6",Russia won fewer gold medals than China.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"ParamountLeaderOf(dengXiaoping, people'sRepublicOfChina)
PraisedFor(dengXiaoping, reaffirmationOfReformProgram) ∧ During(reaffirmationOfReformProgram, southernTourOf1992) ∧ PraisedFor(dengXiaoping, reversionOfHongKongToChineseControl) ∧ During(reversionOfHongKongToChineseControl, 1997) ∧ PraisedFor(dengXiaoping, returnOfMacau) ∧ During(returnOfMacau, 1999)
PartysSecretaryGeneral(dengXiaoping) ∧ Under(dengXiaoping, mao) ∧ VicePremier(dengXiaoping) ∧ PresidedOver(dengXiaoping, antiRightistCampaign) ∧ LaunchedBy(antiRightistCampaign, mao)
InstrumentalIn(dengXiaoping, china'sEconomicReconstruction) ∧ Following(china'sEconomicReconstruction, greatLeapForward) ∧ Disastrous(greatLeapForward) ∧ During(greatLeapForward, 1958-1960)
DiedIn(mao, 1976)
GraduallyRoseTo(dengXiaoping, supremePower)",U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
231,T,,,,,
,,"2, 5",The third place in the gold medal tally was achieved by Russia in the 2008 Summer Olympics and China won the most gold medals (48) in the 2008 Summer Olympics.,,D1,conjunction introduction
,,"D1, 6",Russia won fewer gold medals than China.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
232,T,,,,,
,,5,Beijing has hosted both the 2008 Summer Olympics and a winter olympics.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
232,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
232,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
233,T,,,,,
,,3,Deng Xiaoping was the vice premier,,D1,conjunction elimination
,,"D1,1",Deng Xiaoping was the vice premier and the paramount leader of the PRC,,D2,conjunction introduction
,,"D1,D2",The paramount leader of the PRC was the vice premier.,,D3,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
233,T,,,,,
,,3,Deng Xiaoping was under Mao,,D1,conjunction elimination
,,3,Deng Xiaoping presided over the Anti-Rightist Campaign launched by Mao.,,D2,conjunction elimination
,,"D1,D2",Deng Xiaoping presided over something launched by someone he was under.,,D3,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
233,T,,,,,
,,4,Deng Xiaoping became instrumental in China's economic reconstruction,,D1,conjunction elimination
,,"6,D1",The person instrumental in china's economic reconstruction gradually rose to supreme power,,D2,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
234,T,,,,,
,,"1,2",A private Ivy League research university moved to New Haven.,,D1,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
234,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
234,T,,,,,
,,5,Pierson College is a residential college at Yale.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
235,T,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
235,T,,,,,
,,"1,2",An American TV series debuted in 2016.,,D1,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
236,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
236,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
236,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
236,T,,,,,
,,3,P value doesn't represent metrics of effect.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
237,T,,,,,
,,1,Hadid is a British citizen,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
237,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
237,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
237,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
238,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
238,T,,,,,
,,2,Daniel studied bioengineering at Rice University.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
238,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
239,T,,,,,
,,,,,,
,,"4,5",The Less I Know the Better is in the music project of Kevin Parker.,,D1,universal instantiation and modus ponens
,,"2,D1","The Less I Know the Better was written, recorded, performed and produced by Kevin Parker.",,D2,universal instantiation and modus ponens
,,D2,The Less I Know the Better was written by Kevin Parker.,,D3,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
239,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
239,T,,,,,
,,,,,,
,,3,Jay Watson is one of the members of Tame Impala.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
240,T,,,,,
,,"4,5",GPT-3 is a giant language model,,D1,modus ponens
,,"D1,1 ",GPT-3 has good performance,,D2,universal instantiation
,,D1,GPT-3 is a language model,,D3,conjunction elimination
,,"D2,D3",GPT-3 is a language model with good performance,,D4,conjunction introduction
,,"D4,2",GPT-3 is used by some researchers,,D5,universal instantiation
,,"D5,3",GPT-3 is popular,,D6,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
241,T,,,,,
,,"1, 2",All students learning piano can get the rhytms right,,D1,hypothetical syllogism
,,"6, D1",John can get rhythms right,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
241,F,,,,,
,,"1, 6",John strikes the right notes.,,D1,universal instantiation
,,"D1, 2",John gets the rhythm right.,,D2,universal instantiation
,,"D2, 3",John starts working on coordination between the left and the right hands.,,D3,universal instantiation
,,"D3, 4","Since John has started working on coordination between the left and the right hands, he will either become good at it, or he will find it challenging.",,D4,universal instantiation
,,"D4, 7",John becomes good at left and right hand coordination.,,D5,disjunctive syllogism
,,"D1, D2",John strikes the right notes and gets the rhythm right. ,,D6,conjunction introduction
,,"D5, D6","John strikes the right notes, gets the rhythm right, and is good at coordination between the left and the right hands.",,D7,conjunction introduction
,,"D7, 5",John puts emotion into his playing.,,D8,modus ponens
,,,,,,
,,,,,,
